Testing jepsen.system.elasticsearch-test
INFO  jepsen.os.debian - :n1 setting up debian
INFO  jepsen.os.debian - :n2 setting up debian
INFO  jepsen.os.debian - :n5 setting up debian
INFO  jepsen.os.debian - :n3 setting up debian
INFO  jepsen.os.debian - :n4 setting up debian
INFO  jepsen.os.debian - :n1 debian set up
INFO  jepsen.os.debian - :n4 debian set up
INFO  jepsen.os.debian - :n2 debian set up
INFO  jepsen.os.debian - :n3 debian set up
INFO  jepsen.os.debian - :n5 debian set up
INFO  jepsen.system.elasticsearch - :n4 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n2 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n1 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n5 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n3 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n5 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n2 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n1 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n3 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n4 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n1 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n2 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n4 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n3 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n5 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n2 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n1 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n3 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n5 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n4 elasticsearch ready
INFO  jepsen.core - Worker 1 starting
INFO  jepsen.core - Worker 2 starting
INFO  jepsen.core - Worker 3 starting
INFO  jepsen.core - Worker 4 starting
INFO  jepsen.core - Worker 0 starting
INFO  jepsen.util - 8 :info :add  :timed-out
INFO  jepsen.util - 13  :invoke :add  70
INFO  jepsen.util - 14  :info :add  :timed-out
INFO  jepsen.util - 19  :invoke :add  71
INFO  jepsen.util - 12  :info :add  :timed-out
INFO  jepsen.util - 11  :info :add  :timed-out
INFO  jepsen.util - 10  :info :add  :timed-out
INFO  jepsen.util - 17  :invoke :add  72
INFO  jepsen.util - 16  :invoke :add  73
INFO  jepsen.util - 15  :invoke :add  74
INFO  jepsen.util - 15  :ok :add  74
INFO  jepsen.util - 15  :invoke :add  75
INFO  jepsen.util - 13  :info :add  :timed-out
INFO  jepsen.util - 18  :invoke :add  76
INFO  jepsen.util - 19  :info :add  :timed-out
INFO  jepsen.util - 24  :invoke :add  77
INFO  jepsen.util - 17  :info :add  :timed-out
INFO  jepsen.util - 16  :info :add  :timed-out
INFO  jepsen.util - 22  :invoke :add  78
INFO  jepsen.util - 21  :invoke :add  79
INFO  jepsen.util - 22  :ok :add  78
INFO  jepsen.util - 15  :info :add  :timed-out
INFO  jepsen.util - 22  :invoke :add  80
INFO  jepsen.util - 20  :invoke :add  81
INFO  jepsen.util - 20  :ok :add  81
INFO  jepsen.util - 18  :info :add  :timed-out
INFO  jepsen.util - 20  :invoke :add  82
INFO  jepsen.util - 23  :invoke :add  83
INFO  jepsen.util - 24  :info :add  :timed-out
INFO  jepsen.util - 29  :invoke :add  84
INFO  jepsen.util - 21  :info :add  :timed-out
INFO  jepsen.util - 26  :invoke :add  85
INFO  jepsen.util - 22  :info :add  :timed-out
INFO  jepsen.util - 27  :invoke :add  86
INFO  jepsen.util - 20  :info :add  :timed-out
INFO  jepsen.util - 23  :info :add  :timed-out
INFO  jepsen.util - 25  :invoke :add  87
INFO  jepsen.util - 28  :invoke :add  88
INFO  jepsen.util - 29  :info :add  :timed-out
INFO  jepsen.util - 34  :invoke :add  89
INFO  jepsen.util - 26  :info :add  :timed-out
INFO  jepsen.util - 31  :invoke :add  90
INFO  jepsen.util - 27  :info :add  :timed-out
INFO  jepsen.util - 32  :invoke :add  91
INFO  jepsen.util - 25  :info :add  :timed-out
INFO  jepsen.util - 28  :info :add  :timed-out
INFO  jepsen.util - 30  :invoke :add  92
INFO  jepsen.util - 33  :invoke :add  93
INFO  jepsen.util - 34  :info :add  :timed-out
INFO  jepsen.util - 39  :invoke :add  94
INFO  jepsen.util - 31  :info :add  :timed-out
INFO  jepsen.util - 36  :invoke :add  95
INFO  jepsen.util - 32  :info :add  :timed-out
INFO  jepsen.util - 37  :invoke :add  96
INFO  jepsen.util - 37  :ok :add  96
INFO  jepsen.util - 30  :info :add  :timed-out
INFO  jepsen.util - 33  :info :add  :timed-out
INFO  jepsen.util - 37  :invoke :add  97
INFO  jepsen.util - 35  :invoke :add  98
INFO  jepsen.util - 38  :invoke :add  99
INFO  jepsen.util - 39  :info :add  :timed-out
INFO  jepsen.util - 44  :invoke :add  100
INFO  jepsen.util - 36  :info :add  :timed-out
INFO  jepsen.util - 41  :invoke :add  101
INFO  jepsen.util - 38  :ok :add  99
INFO  jepsen.util - 37  :info :add  :timed-out
INFO  jepsen.util - 35  :info :add  :timed-out
INFO  jepsen.util - 38  :invoke :add  102
INFO  jepsen.util - 42  :invoke :add  103
INFO  jepsen.util - 40  :invoke :add  104
INFO  jepsen.util - 44  :info :add  :timed-out
INFO  jepsen.util - 49  :invoke :add  105
INFO  jepsen.util - 41  :info :add  :timed-out
INFO  jepsen.util - 46  :invoke :add  106
INFO  jepsen.util - 46  :ok :add  106
INFO  jepsen.util - 38  :info :add  :timed-out
INFO  jepsen.util - 46  :invoke :add  107
